contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type
SPY241002C00300000,2024-09-25 14:06:00+00:00,300.0,271.89,268.18,269.38,0.0,0.0,,5,4.742191572265625,True,REGULAR,USD,call
SPY241002C00520000,2024-09-27 17:18:53+00:00,520.0,52.19,48.22,49.42,0.0,0.0,2.0,2,0.84961087890625,True,REGULAR,USD,call
SPY241002C00530000,2024-10-01 14:30:58+00:00,530.0,37.12,38.22,39.42,3.6800003,11.0047865,1.0,0,0.69336244140625,True,REGULAR,USD,call
SPY241002C00534000,2024-09-25 18:51:09+00:00,534.0,36.69,34.23,35.4,0.0,0.0,,2,0.6279334082031252,True,REGULAR,USD,call
SPY241002C00538000,2024-10-01 19:15:46+00:00,538.0,32.31,30.23,31.4,-1.7299995,-5.082255,1.0,1,0.5654340332031251,True,REGULAR,USD,call
SPY241002C00540000,2024-10-01 15:08:18+00:00,540.0,26.81,28.23,29.42,-7.3099995,-21.424383,1.0,21,0.5380905566406251,True,REGULAR,USD,call
SPY241002C00543000,2024-09-26 14:55:33+00:00,543.0,29.15,25.54,26.42,0.0,0.0,,8,0.5468795312500001,True,REGULAR,USD,call
SPY241002C00545000,2024-10-01 20:11:46+00:00,545.0,23.96,23.63,24.39,-2.42,-9.173616,3.0,484,0.5205126074218749,True,REGULAR,USD,call
SPY241002C00546000,2024-09-25 18:41:00+00:00,546.0,22.01,22.62,23.39,-2.75,-11.106624,1.0,7,0.5014698291015626,True,REGULAR,USD,call
SPY241002C00548000,2024-10-01 15:46:18+00:00,548.0,20.77,20.63,21.43,-1.9099998,-8.421516,2.0,1,0.5600629931640625,True,REGULAR,USD,call
SPY241002C00549000,2024-10-01 20:02:01+00:00,549.0,20.37,19.63,20.39,-1.25,-5.7816834,17.0,42,0.532231240234375,True,REGULAR,USD,call
SPY241002C00550000,2024-10-01 19:51:48+00:00,550.0,19.16,18.69,19.38,-4.4300003,-18.779144,226.0,529,0.5100146655273439,True,REGULAR,USD,call
SPY241002C00551000,2024-10-01 18:16:52+00:00,551.0,19.38,17.64,18.4,-3.5300007,-15.408121,9.0,6,0.49341326904296884,True,REGULAR,USD,call
SPY241002C00552000,2024-10-01 19:11:13+00:00,552.0,18.1,16.6,17.4,-1.1999989,-6.217611,15.0,4,0.4726615234375,True,REGULAR,USD,call
SPY241002C00553000,2024-09-30 13:57:52+00:00,553.0,18.1,15.65,16.41,0.0,0.0,70.0,76,0.45361874511718747,True,REGULAR,USD,call
SPY241002C00554000,2024-10-01 19:14:46+00:00,554.0,16.03,14.65,15.42,-0.7099991,-4.2413325,10.0,2,0.43457596679687505,True,REGULAR,USD,call
SPY241002C00555000,2024-09-30 18:33:06+00:00,555.0,14.18,13.72,14.42,-0.29999924,-2.071818,10.0,22,0.41309180664062495,True,REGULAR,USD,call
SPY241002C00556000,2024-10-01 20:00:36+00:00,556.0,13.31,12.8,12.95,-4.089999,-23.505743,264.0,88,0.3061592822265625,True,REGULAR,USD,call
SPY241002C00557000,2024-10-01 18:03:27+00:00,557.0,12.71,11.82,11.97,-3.8000002,-23.016356,44.0,50,0.29175512939453113,True,REGULAR,USD,call
SPY241002C00558000,2024-10-01 20:09:12+00:00,558.0,11.01,10.85,11.0,-4.5299997,-29.150578,279.0,62,0.2788158056640625,True,REGULAR,USD,call
SPY241002C00559000,2024-10-01 20:04:18+00:00,559.0,10.21,9.89,10.03,-4.2299995,-29.293625,239.0,42,0.264655791015625,True,REGULAR,USD,call
SPY241002C00560000,2024-10-01 19:58:05+00:00,560.0,9.0,8.95,9.09,-2.6499996,-22.746778,535.0,211,0.25440198730468755,True,REGULAR,USD,call
SPY241002C00561000,2024-10-01 20:07:20+00:00,561.0,8.15,8.04,8.14,-5.1800003,-38.859715,333.0,196,0.241218525390625,True,REGULAR,USD,call
SPY241002C00562000,2024-10-01 20:14:42+00:00,562.0,7.2,7.13,7.23,-5.1400003,-41.653164,925.0,17,0.23169713623046873,True,REGULAR,USD,call
SPY241002C00563000,2024-10-01 20:00:33+00:00,563.0,6.54,6.26,6.35,-4.12,-38.649155,1123.0,57,0.22364057617187497,True,REGULAR,USD,call
SPY241002C00564000,2024-10-01 20:14:40+00:00,564.0,5.4,5.42,5.5,-4.86,-47.36842,2094.0,31,0.215828154296875,True,REGULAR,USD,call
SPY241002C00565000,2024-10-01 20:10:57+00:00,565.0,4.7,4.61,4.68,-3.9700003,-45.790085,4910.0,405,0.20752745605468748,True,REGULAR,USD,call
SPY241002C00566000,2024-10-01 20:14:27+00:00,566.0,3.82,3.85,3.9,-4.33,-53.128838,13851.0,375,0.19947089599609374,True,REGULAR,USD,call
SPY241002C00567000,2024-10-01 20:13:40+00:00,567.0,3.16,3.14,3.18,-3.72,-54.069767,32396.0,239,0.19214675048828128,True,REGULAR,USD,call
SPY241002C00568000,2024-10-01 20:14:56+00:00,568.0,2.5,2.49,2.52,-3.5500002,-58.67769,57845.0,1075,0.18506674316406246,True,REGULAR,USD,call
SPY241002C00569000,2024-10-01 20:14:55+00:00,569.0,1.94,1.91,1.94,-3.35,-63.327034,70111.0,2090,0.17884121948242188,False,REGULAR,USD,call
SPY241002C00570000,2024-10-01 20:14:58+00:00,570.0,1.42,1.41,1.43,-3.0299997,-68.08988,120536.0,2334,0.17212741943359378,False,REGULAR,USD,call
SPY241002C00571000,2024-10-01 20:14:59+00:00,571.0,1.01,1.0,1.01,-2.7,-72.77628,87280.0,4003,0.16602396484375004,False,REGULAR,USD,call
SPY241002C00572000,2024-10-01 20:14:55+00:00,572.0,0.68,0.68,0.69,-2.35,-77.557755,85218.0,7933,0.16175154663085936,False,REGULAR,USD,call
SPY241002C00573000,2024-10-01 20:14:57+00:00,573.0,0.45,0.44,0.45,-1.98,-81.481476,76800.0,6657,0.15796740478515625,False,REGULAR,USD,call
SPY241002C00574000,2024-10-01 20:14:55+00:00,574.0,0.28,0.27,0.28,-1.6,-85.106384,67198.0,6917,0.15479360839843753,False,REGULAR,USD,call
SPY241002C00575000,2024-10-01 20:14:58+00:00,575.0,0.16,0.16,0.17,-1.24,-88.57143,63130.0,4826,0.15284050292968754,False,REGULAR,USD,call
SPY241002C00576000,2024-10-01 20:14:56+00:00,576.0,0.09,0.09,0.1,-0.90999997,-91.0,20429.0,2370,0.1518639501953125,False,REGULAR,USD,call
SPY241002C00577000,2024-10-01 20:14:57+00:00,577.0,0.05,0.05,0.06,-0.61,-92.42424,15569.0,2902,0.15235222656250003,False,REGULAR,USD,call
