contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,delta,gamma,theta,vega
SPY241002C00300000,2024-09-25 14:06:00+00:00,300.0,271.89,268.18,269.38,0.0,0.0,,5,4.742191572265625,True,REGULAR,USD,call,-0.7482773302582311,0.42116170846868894,-0.379410140388058,0.3539465896376035
SPY241002C00520000,2024-09-27 17:18:53+00:00,520.0,52.19,48.22,49.42,0.0,0.0,2.0,2,0.84961087890625,True,REGULAR,USD,call,-0.3098180365078027,0.9613371619931208,-0.5079553252256258,0.650362112116612
SPY241002C00530000,2024-10-01 14:30:58+00:00,530.0,37.12,38.22,39.42,3.6800003,11.0047865,1.0,0,0.69336244140625,True,REGULAR,USD,call,-0.7704439146169981,0.03548592960027086,-0.7436922880061924,0.30954359154761935
SPY241002C00534000,2024-09-25 18:51:09+00:00,534.0,36.69,34.23,35.4,0.0,0.0,,2,0.6279334082031252,True,REGULAR,USD,call,0.14406700561353025,0.8906984652701707,-0.40244423922105044,0.6009330282340557
SPY241002C00538000,2024-10-01 19:15:46+00:00,538.0,32.31,30.23,31.4,-1.7299995,-5.082255,1.0,1,0.5654340332031251,True,REGULAR,USD,call,-0.3118375170779686,0.9632370562045827,-0.7831614460183365,0.29380523626335686
SPY241002C00540000,2024-10-01 15:08:18+00:00,540.0,26.81,28.23,29.42,-7.3099995,-21.424383,1.0,21,0.5380905566406251,True,REGULAR,USD,call,0.3797330617430785,0.4691314726865864,-0.5195212929708913,0.4136910660556443
SPY241002C00543000,2024-09-26 14:55:33+00:00,543.0,29.15,25.54,26.42,0.0,0.0,,8,0.5468795312500001,True,REGULAR,USD,call,0.17607563105409518,0.06113692022656758,-0.6831725255593208,0.9816537851069426
SPY241002C00545000,2024-10-01 20:11:46+00:00,545.0,23.96,23.63,24.39,-2.42,-9.173616,3.0,484,0.5205126074218749,True,REGULAR,USD,call,-0.9522536106342061,0.585024749444657,-0.10690221325509153,0.3731337881411666
SPY241002C00546000,2024-09-25 18:41:00+00:00,546.0,22.01,22.62,23.39,-2.75,-11.106624,1.0,7,0.5014698291015626,True,REGULAR,USD,call,-0.5941494571738251,0.35962865547244527,-0.2793611753112828,0.287754236425104
SPY241002C00548000,2024-10-01 15:46:18+00:00,548.0,20.77,20.63,21.43,-1.9099998,-8.421516,2.0,1,0.5600629931640625,True,REGULAR,USD,call,0.5830216717846817,0.22647951009271727,-0.42853453792494944,0.37560644235452445
SPY241002C00549000,2024-10-01 20:02:01+00:00,549.0,20.37,19.63,20.39,-1.25,-5.7816834,17.0,42,0.532231240234375,True,REGULAR,USD,call,-0.11239025950255432,0.3640423195164709,-0.8423893702141461,0.4265635813090032
